index,importance
AvgIpc,89
MinAbsEStateIndex,65
PEOE_VSA6,55
MinEStateIndex,54
MaxAbsEStateIndex,50
SMR_VSA7,48
qed,46
VSA_EState4,45
SPS,44
MolLogP,43
BCUT2D_MRHI,41
Ipc,40
BalabanJ,39
BCUT2D_MRLOW,34
EState_VSA1,33
BCUT2D_CHGHI,30
BCUT2D_LOGPLOW,29
FractionCSP3,29
VSA_EState5,28
FpDensityMorgan1,27
VSA_EState8,26
EState_VSA2,23
FpDensityMorgan2,23
MinPartialCharge,22
EState_VSA8,22
HallKierAlpha,21
BCUT2D_MWHI,20
BCUT2D_CHGLO,20
VSA_EState3,19
MaxPartialCharge,18
PEOE_VSA8,18
VSA_EState6,17
FpDensityMorgan3,16
MolWt,16
NHOHCount,15
EState_VSA6,13
VSA_EState7,12
PEOE_VSA1,12
BCUT2D_LOGPHI,12
Kappa2,12
SlogP_VSA2,11
BCUT2D_MWLOW,11
PEOE_VSA9,11
EState_VSA7,10
NumHAcceptors,9
BertzCT,9
VSA_EState2,8
EState_VSA3,7
Kappa3,7
EState_VSA5,7
SlogP_VSA4,6
SlogP_VSA10,6
MaxAbsPartialCharge,6
TPSA,6
Chi4n,6
Chi0n,5
SMR_VSA6,5
SMR_VSA5,5
PEOE_VSA7,5
fr_quatN,5
SlogP_VSA6,4
SlogP_VSA3,3
EState_VSA4,3
EState_VSA10,3
PEOE_VSA10,3
NumHeteroatoms,3
PEOE_VSA12,3
Chi2n,3
SMR_VSA4,3
PEOE_VSA3,3
Chi1,3
MaxEStateIndex,3
SMR_VSA1,3
NumValenceElectrons,2
NumUnspecifiedAtomStereoCenters,1
MinAbsPartialCharge,1
SMR_VSA3,1
NumRotatableBonds,1
NumAromaticRings,1
ExactMolWt,1
SMR_VSA10,1
Chi1n,1
Chi2v,1
Chi3n,1
fr_halogen,1
fr_hdrzine,0
fr_guanido,0
fr_hdrzone,0
fr_barbitur,0
fr_furan,0
fr_ether,0
fr_Ndealkylation2,0
fr_Nhpyrrole,0
fr_SH,0
fr_aldehyde,0
fr_alkyl_carbamate,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_amide,0
fr_amidine,0
fr_aniline,0
fr_aryl_methyl,0
fr_azide,0
fr_azo,0
fr_imide,0
fr_benzene,0
fr_benzodiazepine,0
fr_bicyclic,0
fr_diazo,0
fr_dihydropyridine,0
fr_epoxide,0
fr_ester,0
fr_imidazole,0
fr_oxime,0
fr_isocyan,0
fr_sulfonamd,0
fr_piperdine,0
fr_piperzine,0
fr_priamide,0
fr_prisulfonamd,0
fr_pyridine,0
fr_sulfide,0
fr_sulfone,0
fr_phos_acid,0
fr_term_acetylene,0
fr_tetrazole,0
fr_thiazole,0
fr_thiocyan,0
fr_thiophene,0
fr_unbrch_alkane,0
fr_phos_ester,0
fr_phenol_noOrthoHbond,0
fr_isothiocyan,0
fr_nitrile,0
fr_ketone,0
fr_ketone_Topliss,0
fr_lactam,0
fr_lactone,0
fr_methoxy,0
fr_morpholine,0
fr_nitro,0
fr_phenol,0
fr_nitro_arom,0
fr_nitro_arom_nonortho,0
fr_nitroso,0
fr_oxazole,0
fr_N_O,0
fr_para_hydroxylation,0
fr_Ndealkylation1,0
NOCount,0
fr_NH2,0
SMR_VSA2,0
VSA_EState9,0
VSA_EState10,0
VSA_EState1,0
EState_VSA9,0
EState_VSA11,0
SlogP_VSA9,0
SlogP_VSA8,0
SlogP_VSA7,0
SlogP_VSA5,0
SlogP_VSA12,0
SlogP_VSA11,0
SlogP_VSA1,0
SMR_VSA9,0
SMR_VSA8,0
PEOE_VSA5,0
NumAliphaticCarbocycles,0
PEOE_VSA4,0
PEOE_VSA2,0
PEOE_VSA14,0
PEOE_VSA13,0
PEOE_VSA11,0
LabuteASA,0
Kappa1,0
Chi4v,0
Chi3v,0
Chi1v,0
Chi0v,0
Chi0,0
NumRadicalElectrons,0
HeavyAtomMolWt,0
HeavyAtomCount,0
NumAliphaticHeterocycles,0
fr_NH1,0
fr_Al_OH,0
fr_NH0,0
fr_Imine,0
fr_HOCCN,0
fr_C_S,0
fr_C_O_noCOO,0
fr_C_O,0
fr_COO2,0
fr_COO,0
fr_Ar_OH,0
fr_Ar_NH,0
fr_Ar_N,0
fr_Ar_COO,0
fr_ArN,0
fr_Al_OH_noTert,0
fr_Al_COO,0
NumAliphaticRings,0
MolMR,0
RingCount,0
Phi,0
NumSpiroAtoms,0
NumSaturatedRings,0
NumSaturatedHeterocycles,0
NumSaturatedCarbocycles,0
NumHeterocycles,0
NumHDonors,0
NumBridgeheadAtoms,0
NumAtomStereoCenters,0
NumAromaticHeterocycles,0
NumAromaticCarbocycles,0
NumAmideBonds,0
fr_urea,0
